Case ID,Description,Utterance,MCP Success,MCP Tool,MCP Args,MCP Time (ms),Apex Success,Apex Time (ms),Overall Success,Error Message
1,Cross-sell Data Cloud AMER-ACC,How many cross-sell opportunities do we have in AMER-ACC for Data Cloud?,False,Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.,{},9.1,True,0.0,False,MCP Error: Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.
2,Top 5 Renewal Products UKI,"What is the most valuable renewal product, top five products, in UKI?",True,future_pipeline,"{""opportunityType"": ""renewal"", ""ouName"": ""UKI"", ""timeFrame"": ""CURRENT""}",2.7,True,0.0,True,
3,USA Upsell Cross-sell Analysis,Which product has the highest amount of upsell and cross-sell opportunity in the USA?,False,Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.,{},2.2,True,0.0,False,MCP Error: Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.
4,AMER-ACC Enterprise Renewal,Which product has the highest amount of renewal in AMER-ACC within the enterprise segment?,False,Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.,{},2.3,True,0.0,False,MCP Error: Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.
5,EMEA ENTR Service Cloud Cross-sell,Generate future pipeline for EMEA ENTR with Service Cloud cross-sell opportunities,True,future_pipeline,"{""opportunityType"": ""cross-sell"", ""ouName"": ""EMEA ENTR"", ""product"": ""Service Cloud"", ""timeFrame"": ""CURRENT""}",2.3,True,0.0,True,
6,LATAM Sales Cloud Renewal,Show me renewal opportunities for Sales Cloud in LATAM region,True,future_pipeline,"{""opportunityType"": ""renewal"", ""ouName"": ""LATAM"", ""product"": ""Sales Cloud"", ""timeFrame"": ""CURRENT""}",2.0,True,0.0,True,
7,AMER-ACC Data Cloud Enterprise Upsell,Find upsell opportunities for Data Cloud in AMER-ACC enterprise segment,False,Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.,{},2.2,True,0.0,False,MCP Error: Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.
8,UKI Marketing Cloud Cross-sell,Generate pipeline for Marketing Cloud cross-sell in UKI region,True,future_pipeline,"{""opportunityType"": ""cross-sell"", ""ouName"": ""UKI"", ""product"": ""Marketing Cloud"", ""timeFrame"": ""CURRENT""}",3.5,True,0.0,True,
9,EMEA ENTR Service Cloud Renewal,Show renewal opportunities for Service Cloud in EMEA ENTR,True,future_pipeline,"{""opportunityType"": ""renewal"", ""ouName"": ""EMEA ENTR"", ""product"": ""Service Cloud"", ""timeFrame"": ""CURRENT""}",2.0,True,0.0,True,
10,LATAM Sales Cloud Enterprise Cross-sell,Find cross-sell opportunities for Sales Cloud in LATAM enterprise segment,True,future_pipeline,"{""opportunityType"": ""cross-sell"", ""ouName"": ""LATAM"", ""product"": ""Sales Cloud"", ""segment"": ""enterprise"", ""timeFrame"": ""CURRENT""}",2.1,True,0.0,True,
