Case ID,Description,Utterance,MCP Success,MCP Tool,MCP Args,MCP Time (ms),Apex Success,Apex Time (ms),Overall Success,Error Message
1,ACT Data Cloud Courses,Show me ACT courses related to Data Cloud,True,content_search,"{""source"": ""ACT"", ""topic"": ""Data Cloud""}",10.1,True,0.0,True,
2,ACT Sales Cloud Courses - Q1,List Sales Cloud ACT courses created between Jan 1 and Mar 31,True,content_search,"{""source"": ""ACT"", ""topic"": ""Sales Cloud""}",2.4,True,0.0,True,
3,ACT Sales Cloud High Completion,Find Sales Cloud ACT courses with completion rate > 60%,True,content_search,"{""source"": ""ACT"", ""topic"": ""Sales Cloud""}",2.4,True,0.0,True,
4,ACT Course Enrollments,"For those courses, show enrollments",False,"Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud').",{},2.9,True,0.0,False,"MCP Error: Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud')."
5,Consensus Data Cloud Demo,Show a Consensus demo on Data Cloud,True,content_search,"{""source"": ""ACT"", ""topic"": ""Data Cloud""}",2.3,True,0.0,True,
6,Consensus Data Cloud Q4 Demos,Find Consensus demo videos for Data Cloud created in the last quarter,True,content_search,"{""source"": ""ACT"", ""topic"": ""Data Cloud""}",2.5,True,0.0,True,
7,ACT Sales Cloud High Completion with Links,List ACT curricula for Sales Cloud with completion rate > 75% and show links,True,content_search,"{""source"": ""ACT"", ""topic"": ""Sales Cloud""}",2.6,True,0.0,True,
8,ACT Data Cloud Assets 2024,Show ACT assets tagged 'Data Cloud' created this year,True,content_search,"{""source"": ""ACT"", ""topic"": ""Data Cloud""}",2.2,True,0.0,True,
9,ACT Top Sales Cloud Courses,"From ACT, show top 5 Sales Cloud courses by enrollment",True,content_search,"{""source"": ""ACT"", ""topic"": ""Sales Cloud""}",1.9,True,0.0,True,
10,Consensus Sales Cloud Public Demos,Show Consensus demos for Sales Cloud with a public preview link,True,content_search,"{""source"": ""ACT"", ""topic"": ""Sales Cloud""}",2.2,True,0.0,True,
11,ACT Service Cloud High Completion,Find ACT courses about Service Cloud with completion rate > 80%,True,content_search,"{""source"": ""ACT"", ""topic"": ""Service Cloud with completion rate > 80%""}",2.2,True,0.0,True,
12,Consensus Marketing Cloud Recent Demos,Show me Consensus demo videos for Marketing Cloud created in the last 6 months,False,"Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud').",{},2.5,True,0.0,False,"MCP Error: Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud')."
13,ACT Data Cloud High Enrollment,List ACT curricula for Data Cloud with enrollment > 1000 students,True,content_search,"{""source"": ""ACT"", ""topic"": ""Data Cloud""}",3.6,True,0.0,True,
14,ACT Sales Cloud Certification Courses,Find ACT courses tagged with 'Sales Cloud' and 'Certification',True,content_search,"{""source"": ""ACT"", ""topic"": ""Sales Cloud""}",2.8,True,0.0,True,
15,Consensus Service Cloud Public Demos,Show Consensus demos for Service Cloud with public access,True,content_search,"{""source"": ""ACT"", ""topic"": ""Service Cloud""}",2.4,True,0.0,True,
