Case ID,Description,Utterance,MCP Success,MCP Tool,MCP Args,MCP Time (ms),Apex Success,Apex Time (ms),Overall Success,Error Message
1,Cross-sell Data Cloud AMER-ACC,How many cross-sell opportunities do we have in AMER-ACC for Data Cloud?,False,Operating Unit (ouName) is required for open pipe analysis. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.,{},7.8,True,0.0,False,MCP Error: Operating Unit (ouName) is required for open pipe analysis. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.
2,Top 5 Renewal Products UKI,"What is the most valuable renewal product, top five products, in UKI?",False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.8,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
3,USA Upsell Cross-sell Analysis,Which product has the highest amount of upsell and cross-sell opportunity in the USA?,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},1.7,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
4,AMER-ACC Enterprise Renewal,Which product has the highest amount of renewal in AMER-ACC within the enterprise segment?,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},3.3,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
5,EMEA ENTR Service Cloud Cross-sell,Generate future pipeline for EMEA ENTR with Service Cloud cross-sell opportunities,True,open_pipe_analyze,"{""limitN"": 10, ""ouName"": ""EMEA ENTR"", ""timeFrame"": ""CURRENT""}",3.2,True,0.0,True,
6,LATAM Sales Cloud Renewal,Show me renewal opportunities for Sales Cloud in LATAM region,True,open_pipe_analyze,"{""country"": ""LATAM region"", ""limitN"": 10, ""ouName"": ""LATAM"", ""timeFrame"": ""CURRENT""}",2.3,True,0.0,True,
7,AMER-ACC Data Cloud Enterprise Upsell,Find upsell opportunities for Data Cloud in AMER-ACC enterprise segment,False,Operating Unit (ouName) is required for open pipe analysis. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.,{},2.2,True,0.0,False,MCP Error: Operating Unit (ouName) is required for open pipe analysis. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.
8,UKI Marketing Cloud Cross-sell,Generate pipeline for Marketing Cloud cross-sell in UKI region,True,open_pipe_analyze,"{""country"": ""UKI region"", ""limitN"": 10, ""ouName"": ""UKI"", ""timeFrame"": ""CURRENT""}",2.1,True,0.0,True,
9,EMEA ENTR Service Cloud Renewal,Show renewal opportunities for Service Cloud in EMEA ENTR,True,open_pipe_analyze,"{""limitN"": 10, ""ouName"": ""EMEA ENTR"", ""timeFrame"": ""CURRENT""}",2.1,True,0.0,True,
10,LATAM Sales Cloud Enterprise Cross-sell,Find cross-sell opportunities for Sales Cloud in LATAM enterprise segment,True,open_pipe_analyze,"{""country"": ""LATAM enterprise segment"", ""limitN"": 10, ""ouName"": ""LATAM"", ""timeFrame"": ""CURRENT""}",2.7,True,0.0,True,
11,AMER-ACC Data Cloud Upsell,Generate future pipeline for Data Cloud upsell in AMER-ACC,False,Operating Unit (ouName) is required for open pipe analysis. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.,{},2.7,True,0.0,False,MCP Error: Operating Unit (ouName) is required for open pipe analysis. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.
12,UKI Marketing Cloud Renewal,Show me renewal opportunities for Marketing Cloud in UKI region,True,open_pipe_analyze,"{""country"": ""UKI region"", ""limitN"": 10, ""ouName"": ""UKI"", ""timeFrame"": ""CURRENT""}",2.1,True,0.0,True,
13,EMEA ENTR Service Cloud Enterprise Cross-sell,Find cross-sell opportunities for Service Cloud in EMEA ENTR enterprise segment,True,open_pipe_analyze,"{""country"": ""EMEA ENTR enterprise segment"", ""limitN"": 10, ""ouName"": ""EMEA ENTR"", ""timeFrame"": ""CURRENT""}",2.1,True,0.0,True,
